nom_,activites_,breve_description_,objets_ou_materiaux_concernes_,lactivite_de_la_structure_est-elle_en_sommeil_ou_a_letat_de_projet__,statut_juridique_,nombre_de_personnes_physiques_adherentes_ou_membres_du_projet,nombre_de_personnes_morales_adherentes_de_la_structure_,nombre_de_salaries,secteur_geographique_dintervention,description_complete,site_internet,numero_de_telephone,e-mail_en_fait_ils_ne_sont_pas_affiches_sur_le_site_pour_eviter_les_spams,nom_du_premier_local,adresse_du_premier_local,code_postal_du_premier_local,ville_du_premier_local,nom_du_deuxieme_local,adresse_du_deuxieme_local,code_postal_du_deuxieme_local,ville_du_deuxieme_local,logo,page_facebook,page_facebook_,nom_du_premier_contact,fonction_du_premier_contact,moyen_de_joindre_le_premier_contact,nom_du_deuxieme_contact,fonction_du_deuxieme_contact,moyen_de_joindre_le_deuxieme_contact,la_structure_est_une_antenne_locale_dune_structure_nationale_dont_le_siege_nest_pas_en_pays_de_la_loire,lien_vers_fiche_de_presentation_de_la_structure_chez_ecopole,lien_vers_fiche_de_presentation_du_deuxieme_local_chez_cartoquartiers,lien_vers_fiche_de_presentation_structure_dans_annuaire_ville_de_nantes,lien_vers_fiche_de_presentation_du_premier_local_chez_cartoquartiers,categorie_principale,lien_vers_noeud_openstreetmap_du_deuxieme_local,lien_vers_noeud_openstreetmap_du_premier_local,video_de_presentation,images,username,fee_id,expires_on
"Collectif Idée Vertes","Stand sensibilisation réduction ""déchets""","Organisation de rencontres et d'événements autour des modes de vie durables et responsables : zéro déchet, circuits courts...","__toutes les matières habituelles d'un particulier","L'activité de la structure est en SOMMEIL.","Association","1-10","0","0","communes de l'Ouest de Nantes tel que Couëron, Indre, Saint Etienne de Montluc etc","","https://collectifideesvertes.fr/,","","contact@collectifideesvertes.fr","","","","","","","","","2135,,LOGO_collectif_idees_vertes.png","","","Camille","Co-fondatrice","Formulaire sur le site internet https://collectifideesvertes.fr/contact/","","","","Non","","","","","","","","","LOGO_collectif_idees_vertes-1.png","CollectifIdeesVertes","2",""
"Aurélie au naturel","Ateliers produits zéro ""déchet""","Ateliers pour apprendre à fabriquer vos cosmétiques maison (crème, shampoing, savons...) Ateliers aromatherapie et zéro déchet sur la région nantaise.","produits cosmétiques","La structure est active.","Entreprise ","","0","1-2","Nantes et les environs.","Des ateliers cosmétiques ludiques, créatifs, qualitatifs pour découvrir l’univers de la cosmétique maison et apprendre à formuler des cosmétiques adaptés à votre peau à base d’ingrédients naturels et bio. En petit groupe, dans une ambiance conviviale et chaleureuse, vous êtes accompagné(e) pour apprendre à créer vos produits de beauté et de soins bio.\n\nLes ingrédients utilisés durant les ateliers sont naturels, bio et de grande qualité, vous offrant une réelle garantie de sécurité pour votre bien-être. Les produits cosmétiques contiennent des huiles végétales, les eaux florales, des beurres végétaux et autres actifs naturels ou d’origine naturelle. Ils sont créés sur-mesure et sont ainsi parfaitement adaptés aux besoins et aux envies de chacun.  Sont privilégiés autant que possible les produits de l’agriculture bio et les matières premières naturelles. Les packagings sont en grande majorité en verre de manière à être réutilisables et il n’y a pas d’emballages superflus. Les recettes proposées sont simples, facile à refaire chez soi.  Chaque recette comporte un nombre restreint d’ingrédients. Ces derniers peuvent servir à réaliser de très nombreuses recettes. La plupart des matières premières sont facile à trouver dans les grandes surfaces bio.","https://www.aurelieaunaturel.fr/,","06.09.59.30.09","contact@aurelieaunaturel.fr","","","","","","","","","2080,,Screenshot_20200902-023838-1.jpg","https://facebook.com/aurelieaunaturel","https://facebook.com/aurelieaunaturel,","Aurélie Le Guen","Fondatrice et dirigeante","Par téléphone : 06 09 59 30 09","","","","Non","","","","","","","","","Screenshot_20200902-023838.jpg","AurelieAuNaturel","2",""
"Les Connexions","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Formations (zéro déchet ou économie circulaire, transition énergétique...);Prête ou loue des biens au lieu de les posséder;Stand de conseil sur le recyclage;Stand sensibilisation réduction ""déchets"";Tri des déchets sur événements"," Depuis 2003, Les Connexions accompagnent les organisateurs dans leur démarche de réduction et de recyclage des déchets ...","__toutes les matières habituelles d'un particulier;_toutes les matières d'une entreprise non spécialisée;déchets du bâtiment","La structure est active.","Association","plus de 100","11-20","10-25","France métropolitaine - DOM-TOM - Benelux","L’association ‘Les Connexions’ travaille à l’amélioration du recyclage des déchets des ménages français grâce au montage d’actions opérationnelles de gestion des déchets par le tri sélectif sur évènementiel.\n\nDe la réalisation d’audits, en passant par des ateliers de sensibilisation et d’éducation au recyclage, le but de l’association est de promouvoir la mise en œuvre concrète du principe de développement durable sur les différents évènements.\n\nACTIONS PRINCIPALES\n– la sensibilisation des publics et en particulier des jeunes, aux enjeux de la réduction, du tri et du recyclage,\n– la sensibilisation, le conseil et les audits à destination des organisateurs,\n– la gestion des déchets par la mise en place de la collecte de flux spécifiques sur les évènements, permettant ainsi d’améliorer le taux de valorisation et de recyclage\n– la conception et la réalisation d’outils de sensibilisation\n– la conception, la vente et la location de matériel et de services\n– l’évaluation du bénéfice environnemental lié au tonnage de tri sélectif effectué lors de ses interventions\n– la formation\n\nL’état (en la personne du premier ministre) est le premier à distinguer l’association en 2005 par la remise du prix national de l’engagement Envie d’Agir, à Matignon. L’association est agréée d’éducation populaire depuis 2006. En 2010, la région Rhône Alpes distingue ses actions de trésor du développement durable. Les modes de gestion appliqués sont reconnus par l'agrément économie sociale et solidaire. Statut distingué en 2012 par Mag+ de lyon par la remise du trophée de l’Economie Sociale et Solidaire. Nous sommes placés sous le haut patronnage du ministère de l’Ecologie, du Développement Durable et de l’Energie, ainsi que du ministère de la Ville, de la Jeunesse et des Sports dans le cadre de l’opération Tri-Tour. \n\nLes Connexions est implanté depuis 2010 sur le territoire de Nantes Métropole et plus largement du grand ouest (Bretagne-Pays de la Loire). L'association accompagne localement la mise en oeuvre des politiques publiques en faveur des éco-événements. L’éventail de prestations s'adressent à toutes structures ayant des besoins en matières de prévention et gestion des déchets. ","http://www.lesconnexions.org/,","0475490053","contact@lesconnexions.org","Les Connexions au Solilab","8 rue de Saint Domingue ","44200","Nantes","Local logistique","Chemin de la divatte","44450","La Chappelle-basse-mer","2070,,Logo_Connex_webmini.jpg","https://fr-fr.facebook.com/LesConnexions/","https://fr-fr.facebook.com/LesConnexions/,","Amélie Orfila","Coordinatrice Pays de la Loire & Relation éco-organismes","Par téléphone : 06 73 52 73 86","","","","Oui","http://www.ecopole.com/adherents/les-connexions/,","","","","","","","","MG_3329.jpg;BIS2020-0484-scaled.jpg;DSC_1033-scaled.jpg;apports_massifs.jpg;DSC_0010-scaled.jpg","LesConnexions","2",""
"Les Nanas Zéro Déchet","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Ateliers produits zéro ""déchet"";Blog (ou chaîne utube) sur le zéro déchet;Box cadeau zéro déchet;Organise ou tient des conférences;Vente de produits zéro déchet","Les Nanas Zéro Déchet vous accompagnent vers le mode de vie zéro déchet grâce une box tous les 2 mois. Lucie, la fondatrice accompagnent aussi les entreprises avec conférences, ateliers, audit pour les aider à réduire leurs déchets. ","__toutes les matières habituelles d'un particulier;_toutes les matières d'une entreprise non spécialisée;cheveux;produits cosmétiques;sacs en tissu","La structure est active.","Entreprise ","11-20","0","0","Produit sélectionnés depuis la région nantaise, vendus partout (France)","Les Nanas Zéro Déchet vous accompagnent vers le mode de vie zéro déchet grâce une box (un kit de produits testés et approuvés par les testeurs.ses Les Nanas Zéro Déchet) tous les 2 mois.\n\nLucie, la fondatrice accompagnent aussi les entreprises avec conférences, ateliers, audit pour les aider à réduire leurs déchets. ","https://lesnanaszerodechet.com/,","06 86 65 34 80","bonjour@lesnanaszerodechet.com","","69 boulevard Pierre de Coubertin","44100","Nantes","","","","","2055,,LNZD_logo_HD-web-24_12-2018-scaled.jpg","https://m.facebook.com/lesnanaszerodechet/?locale2=fr_FR","https://m.facebook.com/lesnanaszerodechet/,","Lucie","Fondatrice","Par téléphone : 06 86 65 34 80","","","","Non","","","","","","","","https://www.youtube.com/watch?v=c46mP8y1zV0&t=3s,","Backstage_Testeurs.ses_Les_Nanas_Zero_Dechet_1-tiny.jpg;Lucie-fondatrice-box2.jpg;Box-zero-dechet-final-6-scaled.jpg;2020-06-15-10.30.53-2-1-tiny-scaled.jpg;Les-Nanas-Zero-Dechet-1_juillet-LEssentielle-scaled.jpg","LesNanasZeroDechet","2",""
"L’atelier de Léa","Blog (ou chaîne utube) sur le zéro déchet;Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....);Fabrication de produits zéro déchet;Vente de produits zéro déchet","L'atelier de Léa vous propose de nombreux produits zéro déchet et bien-être 100% fait mai, en France, pour réduire ses déchets tout en se faisant plaisir. Retrouvez des lingettes démaquillantes lavables, des éponges lavables en tissus, des sacs à vrac, des coussins de relaxation pour les yeux ! ","sacs en tissu;tissus et vêtements","La structure est active.","Entreprise ","1-10","0","0","La France entière et plus particulièrement l’Indre et Loire","L'atelier de Léa vous propose de nombreux produits zéro déchet et bien-être 100% fait mai, en France, pour réduire ses déchets tout en se faisant plaisir. Retrouvez des lingettes démaquillantes lavables, des éponges lavables en tissus, des sacs à vrac, des coussins de relaxation pour les yeux ! ","https://www.latelier-de-lea.com/,","","contact@latelier-de-lea.com","L’atelier de Léa","","","","","","","","2044,,picto-latelier-de-lea-beige.png","","https://m.facebook.com/LatelierdeLeaa/,","Léa CECCOTTO","Fondatrice de L’atelier de Léa","contact@latelier-de-lea.com","","","","Non","","","","","","","","","81232A0E-4108-4B1A-A5B5-5DCC3A84DFD9-scaled.jpeg;5A9FCF35-27F3-4503-A895-ED8900CE307F-scaled.jpeg;EFE760CC-8B67-4EC5-ADEC-647379FD0BAC-scaled.jpeg;8227ED87-40AC-497E-9619-701EF0A8E5A8-scaled.jpeg","LAtelierDeLea","2",""
"La Fabrik A Vrac","Ateliers produits zéro ""déchet"";Vente de produits en vrac;Vente de produits zéro déchet","Drive d'épicerie Vrac à Saint Herblain dans des contenants consignés, favorisant le local, le bio et le zéro déchet. Livraison en entreprise. Lieu d'échange et de partage (ateliers, conférences, apéros dons...).","bocaux;sacs en tissu","La structure est active.","Entreprise ","1-10","1-2","1-2","Saint-herblain / Coüeron / Sautron / Nantes Ouest / Vigneux de bretagne / Orvault","Ici, on fait ses courses éco-responsables en quelques clics. On choisit ses produits sur le site internet, puis un créneau de retrait et enfin on vient retirer sa commande. Les produits sont dans des contenants consignés, nous nous occupons de toute la logistique des contenants. Lorsque le client rapporte ses contenants vides, on ajoute la valeur du crédit consigne sur son compte et nous nous occupons de remettre les contenants dans notre circuit ou celui de nos producteurs.","http://www.lafabrikavrac.fr,","06 15 95 33 12","drivenantaiszd@gmail.com","La Fabrik A Vrac","Rue du moulin de la rousselière","44800","Saint Herblain","","","","","2011,,logo-lafabrik-1.png","https://www.facebook.com/LaFabrikAVrac","https://www.facebook.com/LaFabrikAVrac,","Charlotte Gambier","Co-gérante","Téléphone 06 15 95 33 12","","","","Non","","","","","","","","","logo-lafabrik.png","LaFabrikAVrac","2",""
"La Tricyclerie","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Collecte globale (5 flux) des ""déchets"" en entreprise;Sensibilisation au gaspillage alimentaire;Solutions de récupération des matières organiques (compostage...)"," La collecte des déchets organiques en vélo, pour un compostage local !","déchets organiques riches (restes alimentaires...)","La structure est active.","Association","51-100","plus de 50","5-10","Nantes","La Tricyclerie vise à répondre à cet enjeu clé du territoire: la gestion et la valorisation écologique des biodéchets en zone urbaine et l’impulsion des mobilités douces comme logistique urbaine de territoire. Nous collectons à vélo-remorques les déchets organiques des professionnels (restaurants et bureaux) et particuliers dans le but de les valoriser localement.\n\nNous travaillons parallèlement à l’éducation à la réduction des déchets et au compostage tant pour les scolaires que pour les adultes, à travers différents formats d’animation.\n\nActions principales :\n    Travail de terrain: Collecte à vélo auprès des restaurants et bureaux de leurs déchets organiques et valorisation écologique locale (compost). Distribution de la matière produite pour les jardins, écoles et agriculteurs intéressés.\n    Animations et activités de sensibilisation sur la réduction des déchets.\n    Conseil et accompagnement de porteurs de projets et villes intéressés par dupliquer le processus.","https://www.latricyclerie.fr/,","","hello@latricyclerie.fr","La Tricyclerie","5 Rue Perelle","44000","Nantes","","","","","2005,,logo_tricylerie-1.png","","https://www.facebook.com/latricyclerie,","Coline BILLON","Fondatrice et responsable développement","hello@latricyclerie.fr","","","","Non","http://www.ecopole.com/adherents/la-tricyclerie/,","","","","","","","https://www.youtube.com/watch?v=Mx6vjxVLiHs,","logo_tricylerie.png;3D6A9581-scaled.jpg;3D6A9439-scaled.jpg;3D6A9839-scaled.jpg","LaTricyclerie","2",""
"Solution Recyclage","Collecte des meubles des professionnels;Collecte globale (5 flux) des ""déchets"" en entreprise;Collecte le bois (hors meubles);Recyclage de tissu/vêtement (hors atelier couture);Recyclage des ordinateurs / téléphones portables"," Solution Recyclage propose aux entreprises des services innovants leur permettant de recycler une très grande variété de déchets.","","La structure est active.","Entreprise ","","0","10-25","","\nNous sommes convaincus que le tri ne peut fonctionner que s’il est basé sur des méthodes simples qui favorisent l’adhésion des salariés. C’est pourquoi, nous concevons nos services sur-mesure pour apporter à nos clients le meilleur confort dans le fonctionnement du tri.\n\nNous garantissons enfin une traçabilité des déchets que nous collectons, ce qui permet à nos clients de communiquer vers leurs salariés pour donner du sens à leur action, mais aussi de se mettre en conformité avec les normes qui leur sont imposées.","http://www.solution-recyclage.fr/,","","olivier.humeau@solution-recyclage.com","","","","","","","","","1998,,logo_fond_blanc-scaled.jpg","https://www.facebook.com/solutionrecyclage","https://www.facebook.com/solutionrecyclage,","Olivier Humeau","Directeur","Joindre le standard de l'entreprise","","","","Non","","","","","","","","","logo_fond_blanc-1-scaled.jpg","SolutionRecyclage","2",""
"Colégram","Ateliers produits zéro ""déchet"";Vente de produits en vrac;Vente de produits zéro déchet","Marché bio, sans emballage, en circuit court à Rezé Pont Rousseau, à quelques minutes de l'arrêt de tram Pirmil, ouvert de 10h à 20h avec une large gamme de produits (épicerie, fruits et légumes, crèmerie, ménager, cosmétique, accessoires...). ","bocaux","La structure est active.","Entreprise ","1-10","0","5-10","Nantes, Nantes sud, Rezé, Vertou, Bouguenais, Les Sorinières","","https://colegram.bio,","02 28 91 86 37","contact@colegram.bio","Marché Colégram","31 rue Félix Faure","44400","Rezé","","","","","1989,,logo-wood.jpg","","https://www.facebook.com/ColegramBio/,","Elise","Co-gérante","contact@colegram.bio","","","","Non","","","","","","","","","1.jpg;leg.jpg;cos.jpg;3.jpg;TR.jpg","Colegram","2",""
"Ouivalo","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Atelier sur compostage ou lombricompostage;Ateliers produits zéro ""déchet"";Blog (ou chaîne utube) sur le zéro déchet;Gestion et/ou développement de contenants consignés;Information sur la réduction des déchets à la source (hors stand);Information sur le recyclage (hors stand);Organise des collectes citoyenne de déchets;Sensibilisation au gaspillage alimentaire;Solutions de récupération des matières organiques (compostage...)","Ouivalo anime un réseau de points relais compost en magasin et entreprise pour les citoyens. En route pour le retour à la terre des épluchures.","déchets organiques riches (restes alimentaires...)","La structure est active.","Entreprise à mission d'intérêt général","1-10","0","2-5","Retrouvez des points relais compost actifs sur Nantes. Possibilité de se pré-inscrire pour activer le tri sur le plan nationnal.","","https://ouivalo.fr/,","07 49 02 85 36","hello@ouivalo.fr","Incubateur Centrale Nantes","1 rue de la Noë","44300","NANTES","","","","","1983,,Déclinaison-logo-07.png","https://fr-fr.facebook.com/pg/ouivalo/","https://fr-fr.facebook.com/pg/ouivalo/,","Camille MARHADOUR-SAVARY","Co-fondatrice","hello@ouivalo.fr","","","","Non","","","","","","","","","Ouivalo4-scaled.jpg;IMG_20200507_170603-scaled.jpg;DSC09878.jpg;Logo-61-3-1.png","OuiVALO","2",""
"Le Grimoire de Sandrine","Ateliers produits zéro ""déchet"";Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....)","Le Grimoire de Sandrine vous propose des ateliers pour apprendre à réaliser vos cosmétiques au naturel et bio, respectueux de votre peau, de votre santé et de l’environnement.","produits cosmétiques","La structure est active.","Entreprise ","1-10","0","1-2","","Le Grimoire de Sandrine vous propose des ateliers pour apprendre à réaliser vos cosmétiques au naturel et bio, respectueux de votre peau, de votre santé et de l’environnement.\n\nRevenez aux plaisirs simples des cosmétiques home-made avec des astuces pour tous les goûts !  Éveillez votre curiosité, révélez le potentiel créatif qui est en vous ! Prenez soin de votre peau et devenez l’ artisan de votre beauté enchanteresse grâce aux ateliers de cosmétiques au naturel et bio.\n\nLaissez-vous surprendre par le monde magique de la cosmétique au naturel et retrouvez le plaisir de créer soi-même ses soins de beauté au naturel lors d’un atelier. Pas besoin de baguette magique mais de quelques ingrédients pour réaliser une potion naturelle à votre image.","","","contact@legrimoiredesandrine.fr","","","","","","","","","1977,,cropped-Bannière-page-web2.png","https://www.facebook.com/legrimoiredesandrine.fr/","https://www.facebook.com/legrimoiredesandrine.fr/,","Sandrine","Fondatrice / dirigeante","contact@legrimoiredesandrine.fr","","","","Non","","","","","","","","","cropped-Bannière-page-web2-1.png","LeGrimoireDeSandrine","2",""
"Les formules de Leslie","Ateliers produits zéro ""déchet"";Blog (ou chaîne utube) sur le zéro déchet","Ateliers de Cosmétique, Savons &amp; Produits ménagers « faits maison » à Nantes\n","__toutes les matières habituelles d'un particulier","La structure est active.","Entreprise ","1-10","0","1-2","","","https://lesformulesdeleslie.fr/,","","leslie.thevenot@gmail.com","","","","","","","","","1964,,6ED8C512-0D22-4E08-8BA9-8A490542FBC6.jpeg","","https://m.facebook.com/lesliemoriceauthevenot/,","Leslie","Fondatrice","Email leslie.thevenot@gmail.com","","","","Non","","","","","","","","","A07B6B2B-77E6-4FA7-815C-B2AC289925AB.jpeg;C00E888A-4B89-4688-94C0-536CF727F67C.jpeg;B984D8A3-1942-4719-96B8-A9B03D77AD94.jpeg;B7607A77-3C8C-430D-BD4E-41FAE4F59F20.jpeg;9EC388C3-55E2-4DCB-B24F-7D77CE8F93AF.jpeg","LesFormulesDeLeslie","2",""
"PIROUETTE!","Box cadeau zéro déchet;Créations artisanales autour de matériaux réemployés (upcycling);Formations (zéro déchet ou économie circulaire, transition énergétique...)","La boutique en ligne dédiée à l'Upcycling et à ses créateurs.","","La structure est active.","Entreprise à mission d'intérêt général","1-10","0","1-2","","Pirouette est la première boutique en ligne dédiée à l’upcycling\nL’Upcycling c’est valoriser les matériaux réemployés par la création artisanale, rendre beau, utile et durable ce que nous jetons.","https://wearepirouette.fr/,","","pirouette@boutique-pirouette.fr","","","","","","","","","1950,,logo_pirouette.jpg","https://www.facebook.com/pg/pirouette.nantes","https://www.facebook.com/pg/pirouette.nantes,","Véronic Durand","Gérante","Par mail au pirouette@boutique-pirouette.fr","","","","Non","","","","","","","","","logo_pirouette-1.jpg","Pirouette","2",""
"2 rubans verts","Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....);Fabrication de produits zéro déchet;Vente de produits zéro déchet","Création et vente de contenants réutilisables, d'accessoires de voyage, zéro déchet","","La structure est active.","Entreprise ","1-10","1-2","0","clisson","Nous sommes deux anciennes collègues opticiennes, devenues amies et très complices. Nous avons eu la folle idée de s'associer professionnellement, mais dans quoi ???\n\nSéverine : consommatrice de produits en vrac, Valentine : passionnée de couture. Nous avons unies nos forces suite au problème de non praticité des sacs à vrac classique vendus dans le commerce. \n\nValentine s'est muni d'un papier et d'un crayon et à dessiner le sac à vrac de rêve de Séverine. \n\nAprès plusieurs prototypes, nous avons le plaisir de vous présenter notre société 2 rubans verts et ses créations.\n\nTout nos produits sont 100% faits de nos petites mains en Loire Atlantique. \n\nEn espérant qu'ils vous plaisent et que vous les trouverez aussi pratiques et agréables que nous. ","https://www.2rubansverts.fr,","","2rubansverts@gmail.com","","","","","","","","","1937,,logo-2rubanverts.png","","https://www.facebook.com/pages/category/Product-Service/2-rubans-verts-112628913652634/,","Valentine","co-gérante","mail ou téléphone à compléter","Séverine","co-gérante","mail ou téléphone à compléter","Non","","","","","","","","","IMG_20200302_185925_591-1-scaled.jpg;IMG_20200217_154041155-scaled.jpg;IMG_20200217_151001043-1-scaled.jpg;IMG_20200225_142118_313.jpg;img-20200410-143014030.jpg","2 Rubans Verts","2",""
"Collectif Zéro Déchet = 100 % Ressources","Groupe de pression (manifestes, pétitions, alertes...);Organise des rencontres entre acteurs pros du zéro déchet","Citoyens, associations et entrepreneurs de la métropole nantaise, nous nous mobilisons pour relever le défi d'un territoire ""0 déchet, 100% ressources"".\nNous organisons une rencontre entre les pros du zéro déchet (ou porteurs de projet), le 8 de chaque mois à la Galerie du Zéro Déchet et sur zoom.","__toutes les matières habituelles d'un particulier;_toutes les matières d'une entreprise non spécialisée","La structure est active.","Collectif de citoyen","1-10","21-50","0","Nantes et les environs","Notre collectif est le rassemblement de citoyens, d'associations et d’entrepreneurs de la métropole nantaise, mobilisés pour relever le défi d’un territoire « 0 déchet, 100% ressources ».\n\nChacun - que nous soyons habitants, étudiants, entrepreneurs ou responsables associatifs, jeunes ou moins jeunes - nous nous engageons à soutenir et à développer une vision opérationnelle ambitieuse d’une économie circulaire à l’échelle de notre territoire de vie.\n\nNous faisons tous partie de la solution et nous le ferons en jouant collectif, “à la nantaise” !\n\nNotre mobilisation s’inscrit dans le scénario proposé par l’association “ZERO WASTE FRANCE”, qui préconise une démarche positive pour aller vers une société “zéro déchet, zéro gaspillage”.\n\nElle fait également écho à l’appel à projets national « territoires zéro déchet, zéro gaspillage » (pour lequel Nantes Métropole figure parmi les 58 territoires retenus), lancé par le Ministère de l’Ecologie, du Développement Durable et de l’Energie.","","","grand.defi.nantes@gmail.com","","","","","","","","","1926,,logo_collectif.png","","http://www.facebook.com/pg/Collectifzerodechetnantes,","Renate Schäfer","Une des personnes fondatrices","Mail : grand.defi.nantes@gmail.com","Dominique Béhar","Une des personnes fondatrices","dominique.behar@terra21.fr","Non","","","","","","","","https://www.facebook.com/watch/?v=2170234359869692,","30688908_2355383688021424_4116114962189910016_o.jpg;11098209_1745631328996666_3874898240869426451_n.jpg;15966077_2059907244235738_5397371866376344359_n.jpg","CollectifZeroDechet100Ressources","2",""
"Bijoux Toune","Créations artisanales autour de matériaux réemployés (upcycling)","Créatrice qui récupère vos vieux boutons et vos perles, en les transformant en bijoux. Vente sur stands et internet.","anciens bijoux;bouton;perle","La structure est active.","","1-10","0","0","","Qui n'a pas dans ses tiroirs des bijoux fantaisie cassé, démodé que l'on ne souhaite plus porter !\nBijoux Toune les démonte et les utilise pour ses créations.\nJ’aime donner une deuxième vie à tous ces vieux boutons et ces perles.\nEt c’est un geste  pour la planète !","http://bijoux-toune.jimdo.com,","0617757736","chantalcaillebotte@yahoo.fr","","","","","","","","","1891,,bijoux_toune_logo.jpg","http://facebook.com/bijouxtoune","http://facebook.com/bijouxtoune,","Chantal Caillebotte","","Par téléphone au 0617757736","","","","","","","","","","","","","bijoux_toune_1.jpg;bijoux_toune_3.jpg;bijoux_toune_2.jpg","BijouxToune","2",""
"Lechapus","Réalise des activités culturelles en lien avec le zéro déchet","Lechapus // Orchestre Plastique\nLechapus fabrique de la musique avec des déchets plastiques, il fait chanter les produits vaisselles, swinguer les sachets d'Emmental et les yaourts Reine des Neiges... L'idée étant d'exorciser par la musique et la danse notre gabegie plastique.","__toutes les matières habituelles d'un particulier;bouchons en plastique;déchets du bâtiment;futs de bière;vaisselle jetable","La structure est active.","Association","1-10","0","1-2","Pays de la Loire et plus","Lechapus propose une performance musicale d'une heure et aussi une action culturelle auprès du jeune public. L'idée de cette action culturelle est d'aller de la récolte de déchets dans la poubelle, sur la plage, dans un parc... jusqu'à la tranformation en un objet musical afin d'exorciser notre gabegie plastique.","https://www.facebook.com/Lechapus/,","0608312298","chapus.production@gmail.com","","","44140","Remouillé","","","","","","https://www.facebook.com/Lechapus/","https://www.facebook.com/Lechapus/,","Ben Lechapus","Artiste performeur","0608312298","","","","Non","","","","","","","","https://youtu.be/Nw0XFSjQu80,","Lechapus-Photo-scaled.jpg","BenLechapus","2",""
"Gueules de Bois","Collecte le bois (hors meubles);Échange de matières premières entre professionnels;Prête ou loue des biens au lieu de les posséder;Sensibilisation ou ateliers avec des scolaires","Propose : un atelier partagé de 360 m2 dédié au travail du bois, où sont mutualisés outils, machines et compétences ; des ateliers d'initiation pour créer des objets en bois ; des cours techniques sur le travail du bois ; des chantiers participatifs. Promeut le réemploi du bois.","bois (hors meubles)","La structure est active.","Association","plus de 100","3-5","0","Agglomération de Nantes","Projet associatif : \nCréée en 2017, Gueules de Bois est née du désir de transmettre les savoir-faire liés au travail du bois à travers des actions collectives et responsables et de pouvoir proposer un atelier partagé dédié au travail du bois sur la ville de Nantes. \nEn 2019, l’association trouve le lieu de son futur atelier à l’Agronaute, sur l’Île de Nantes, dans l’ancien MIN, aux côtés de La Sauge, de l’Atelier Moins Mais Mieux, de la Tricyclerie et de nombreux autres acteurs.\nLes activités qu’elle propose s’adressent à des publics variés :\n• Un atelier partagé de 360 m2 dédié au travail du bois, où sont mutualisés outils, machines et compétences. Ouvert aux particulier·ères comme aux professionnel·les, l’objectif de ce lieu est de rassembler une communauté d’amateur·trices, professionnel·les et passionné·es du bois, afin qu’ils/elles puissent partager leurs connaissances et leurs savoir-faire, et s’entraider ;\n• Des ateliers d’initiation pour créer des objets en bois, tout en s’initiant à plusieurs outils et machines, et en découvrant les techniques d’assemblage et de travail du bois ;\n• Des cours pour se perfectionner sur certaines machines (ex : défonceuse, fraiseuses, …) ou s’initier à des techniques d’ébénisterie (ex : marqueterie, queue d’aronde) ;\n• Des chantiers participatifs, en partenariat avec des établissements scolaires ou des structures locales d’économie sociale et solidaire, pour fabriquer du mobilier d’intérieur ou d’extérieur.\nElle promeut aussi le réemploi du bois. Depuis sa création, plus de 50m3 de bois voués à être détruits ont ainsi déjà été valorisés : une importante source de matières pour de nombreux projets.\n\nÉquipe\nDepuis le début du projet, l’équipe s’est enrichie de plein de passionné·es du bois et est constituée aujourd’hui de 10 membres actif·ves aux compétences complémentaires : menuiserie, ébénisterie, architecture, aménagement, urbanisme, gestion de projets, communication. ","https://gueulesdebois.fr/,","07 85 14 47 99","contact@gueulesdebois.fr","Atelier partagé Gueules de Bois","rue du Sénégal","44200","Nantes","","","","","1874,,GDB.png","https://www.facebook.com/gueulesdeboisnantes/","https://www.facebook.com/gueulesdeboisnantes/,","Matthieu SAÏDANI","Fondateur","matthieu@gueulesdebois.fr","Rachel LOUISET","Membre du bureau","rachel@gueulesdebois.fr","Non","","","https://metropole.nantes.fr/infonantes/association/25377-gueules-de-bois,","","","","https://www.openstreetmap.org/way/814071977,","https://youtu.be/l0GCTg-7acU,","Atelier2.jpg;Outils.jpg;EtabliPhotoManager-.jpg;Atelier1.jpg;Atelier3.jpg","GueulesDeBois","2",""
"Kerbnb","Tourisme en mode zéro déchet","Conciergerie pour vos locations de vacances, en mode zéro déchet.","__toutes les matières habituelles d'un particulier","La structure est active.","SCOP","1-10","plus de 50","2-5","Nantes, Nantes sud","Kerbnb est une société de service à la personne engagée, qui a pour but d'aider les hôtes à accueillir au mieux les voyageurs. Tout est penser pour réduire ses déchets pendant son séjour","https://kerbnb.fr/,Kerbnb, conciergerie engagée","0687713612","accueil@kerbnb.fr","","604 Maison radieuse","44400","Rezé","","","","","1871,,2.png","https://www.facebook.com/kerbnb.fr","https://www.facebook.com/kerbnb.fr,","Didier Rayssiguier","CEO/Homme de ménage","0687713612","","","","Non","","","","","","","","","anneaux1.jpg","Kerbnb","2",""
